actionSignature, actionTimestamp
Logare: admin@adm.com,2022-05-23 12:11:11.191
Navigare in pagina: KFC,2022-05-23 12:11:12.061
Navigare in pagina: Burgers & Wraps,2022-05-23 12:11:13.008
admin@adm.com a adaugat Twisterin cos,2022-05-23 12:11:22.026
A fost plasata o comanda,2022-05-23 12:11:44.048
Cerere formular de inregistrare,2022-05-23 12:49:14.435
Cerere formular de inregistrare,2022-05-23 12:51:19.332
Logare: admin@adm.com,2022-05-23 13:01:22.34
Logare: admin@adm.com,2022-05-23 13:02:02.888
Logare: admin@adm.com,2022-05-23 13:03:16.507
Navigare in pagina: KFC,2022-05-23 13:03:17.245
Navigare in pagina: Burgers & Wraps,2022-05-23 13:03:17.874
admin@adm.com a adaugat Twister in cos,2022-05-23 13:03:20.102
Logare: admin@adm.com,2022-05-23 13:08:43.257
Logare: admin@adm.com,2022-05-23 13:09:30.532
Navigare in pagina: KFC,2022-05-23 13:09:31.359
Navigare in pagina: Burgers & Wraps,2022-05-23 13:09:31.849
admin@adm.com a adaugat Twister in cos,2022-05-23 13:09:32.808
admin@adm.com a adaugat Twister in cos,2022-05-23 13:09:33.806
admin@adm.com a adaugat Twister in cos,2022-05-23 13:09:39.372
admin@adm.com a adaugat Twister in cos,2022-05-23 13:09:39.504
A fost plasata o comanda,2022-05-23 13:09:40.438
